update,timesteps,episodes_done,mean_score,max_score,loss_total,loss_policy,loss_value,entropy,clip_frac,lr,fps,elapsed_s
5,20480,675,0.93,4,5.00119,-0.02337,10.07325,1.20614,0.1885,0.0003,1042,19.6
10,40960,863,3.06,10,12.31082,-0.02739,24.69719,1.03803,0.1711,0.0003,1047,39.1
15,61440,1080,6.76,20,33.75659,-0.02024,67.56989,0.81184,0.1547,0.0003,1047,58.7
20,81920,1278,9.2,20,45.4628,-0.01647,90.97298,0.72255,0.1434,0.0003,1048,78.1
25,102400,1454,11.3,22,48.80037,-0.01761,97.6498,0.69219,0.131,0.0002999,1045,97.9
30,122880,1613,12.99,24,50.85549,-0.01722,101.75886,0.67157,0.1591,0.0002999,1044,117.6
35,143360,1761,14.07,26,48.97499,-0.01869,98.0,0.63226,0.1425,0.0002999,1045,137.1
40,163840,1909,13.75,26,43.95419,-0.0165,87.95344,0.60348,0.1602,0.0002998,1034,158.3
45,184320,2051,13.9,23,44.24677,-0.01531,88.5355,0.56735,0.1354,0.0002998,1032,178.5
50,204800,2189,14.29,30,40.71112,-0.01422,81.46245,0.58867,0.1481,0.0002997,1033,198.2
55,225280,2320,14.74,28,36.85695,-0.01799,73.76196,0.60436,0.1464,0.0002996,1033,218.0
60,245760,2445,15.63,25,38.71041,-0.01599,77.46436,0.57804,0.1549,0.0002996,1027,239.2
65,266240,2577,14.79,24,38.37786,-0.02003,76.80692,0.55743,0.162,0.0002995,1012,263.1
70,286720,2701,15.37,27,45.22639,-0.01647,90.4968,0.55431,0.1541,0.0002994,1007,284.5
75,307200,2832,15.11,22,38.78998,-0.01771,77.62681,0.57091,0.1437,0.0002993,998,307.7
80,327680,2963,13.93,22,32.96113,-0.01802,65.96993,0.58163,0.1559,0.0002992,983,333.0
85,348160,3104,13.54,23,38.09817,-0.01862,76.24396,0.51862,0.131,0.0002991,976,356.4
90,368640,3243,13.05,21,39.78651,-0.02057,79.62513,0.54851,0.1534,0.000299,974,378.2
95,389120,3381,12.54,18,40.27646,-0.02027,80.60441,0.54806,0.1707,0.0002989,973,399.8
100,409600,3516,12.22,18,37.54137,-0.01997,75.13398,0.56442,0.1727,0.0002988,973,420.7
105,430080,3664,11.32,16,35.45881,-0.0194,70.96777,0.56724,0.1741,0.0002987,974,441.2
110,450560,3802,11.43,17,30.78127,-0.01872,61.61223,0.6124,0.1619,0.0002985,975,462.0
115,471040,3939,11.71,19,20.64009,-0.01696,41.3268,0.63406,0.156,0.0002984,977,481.7
120,491520,4076,11.52,16,21.71003,-0.01978,43.4725,0.64494,0.1579,0.0002983,980,501.4
125,512000,4205,12.85,20,13.14753,-0.01913,26.34716,0.69242,0.1739,0.0002981,977,523.7
130,532480,4335,13.64,23,15.12761,-0.02156,30.31239,0.70259,0.2023,0.000298,976,545.3
135,552960,4448,15.31,27,16.79571,-0.01843,33.64123,0.64703,0.1514,0.0002978,977,565.8
140,573440,4568,16.04,31,19.38633,-0.01904,38.82333,0.62953,0.1475,0.0002977,974,588.5
145,593920,4679,16.68,32,18.71588,-0.01778,37.48019,0.64331,0.1494,0.0002975,975,609.0
150,614400,4788,17.89,33,20.67913,-0.0154,41.40176,0.63506,0.1688,0.0002973,976,629.0
155,634880,4889,18.07,34,25.55393,-0.01708,51.15471,0.63469,0.1561,0.0002971,975,650.7
160,655360,4999,17.78,32,23.78372,-0.01739,47.61458,0.61813,0.1644,0.0002969,975,672.1
165,675840,5106,17.4,37,27.98238,-0.01872,56.01469,0.62478,0.1703,0.0002967,975,693.1
170,696320,5213,18.98,34,37.26335,-0.01673,74.5722,0.60285,0.14,0.0002965,974,714.7
175,716800,5306,18.51,34,25.42014,-0.01916,50.89083,0.61245,0.1571,0.0002963,975,735.1
180,737280,5402,18.88,35,19.5799,-0.01934,39.21068,0.61011,0.1577,0.0002961,974,756.9
185,757760,5497,19.4,40,23.57074,-0.01783,47.1886,0.57342,0.1473,0.0002959,974,777.9
190,778240,5598,18.89,35,33.695,-0.01924,67.43935,0.54393,0.1546,0.0002957,974,798.3
195,798720,5693,19.34,37,37.33156,-0.01871,74.71123,0.53384,0.1452,0.0002955,974,819.6
200,819200,5781,19.73,40,24.90607,-0.01824,49.85929,0.53328,0.1647,0.0002952,971,843.2
205,839680,5870,20.17,38,25.67175,-0.01956,51.39388,0.56362,0.1575,0.000295,971,864.6
210,860160,5960,20.42,36,29.95105,-0.01557,59.94445,0.56001,0.1292,0.0002947,971,885.6
215,880640,6039,21.92,37,25.48736,-0.01681,51.01875,0.52082,0.1404,0.0002945,971,906.6
220,901120,6121,22.15,38,30.10428,-0.01881,60.25669,0.52534,0.1514,0.0002942,970,929.0
225,921600,6200,21.18,41,21.38107,-0.0172,42.80737,0.54102,0.1696,0.000294,969,951.0
230,942080,6287,21.86,41,43.71938,-0.01859,87.48762,0.58479,0.1665,0.0002937,969,971.8
235,962560,6379,20.18,39,24.15068,-0.01925,48.35231,0.62257,0.1593,0.0002934,970,992.1
